Booster,Learning_Rate,Max_Depth,Gamma,Min_Child_Weight,Alpha,Predicted_MSE,Predicted_Pinball,Benchmark_MSE,Benchmark_Pinball,Temp_MSE
gbtree,0.25,10,5,1,1e-06,18761.147707068623,138.71510937823678,20512.404296915,193.59964930235552,1238.1855958606532
gbtree,0.25,10,5,2,1e-06,18466.1998187475,137.46238215674182,20512.404296915,193.59964930235552,1234.3447453773329
gbtree,0.25,10,5,3,1e-06,19016.602844297748,139.24955219916632,20512.404296915,193.59964930235552,1261.2126567470464
gbtree,0.25,10,10,1,1e-06,18493.441282272513,137.77918889292718,20512.404296915,193.59964930235552,1228.5166343702274
gbtree,0.25,10,10,2,1e-06,18292.979099546374,137.17496505697625,20512.404296915,193.59964930235552,1219.4817829166604
gbtree,0.25,10,10,3,1e-06,18865.310958597092,138.57646151752638,20512.404296915,193.59964930235552,1255.831672062817
gbtree,0.25,15,0,1,1e-06,19408.06469211785,141.60985030114392,20512.404296915,193.59964930235552,1333.8248908056105
gbtree,0.25,15,0,2,1e-06,19072.157841259406,141.46446534599437,20512.404296915,193.59964930235552,1315.4858823519914
gbtree,0.25,15,0,3,1e-06,19568.67553687798,143.36905402158914,20512.404296915,193.59964930235552,1352.388923787914
gbtree,0.25,15,5,1,1e-06,19226.04521753555,141.70533553509793,20512.404296915,193.59964930235552,1326.8873895640504
gbtree,0.25,15,5,2,1e-06,19511.07765588161,143.06285185127783,20512.404296915,193.59964930235552,1346.4678112360841
gbtree,0.25,15,5,3,1e-06,19430.318015840872,143.44411451360733,20512.404296915,193.59964930235552,1352.5334294798
gbtree,0.25,15,10,1,1e-06,19340.724166985667,142.59787155029204,20512.404296915,193.59964930235552,1326.3501091563317
gbtree,0.25,15,10,2,1e-06,19221.98175517565,142.0846719774308,20512.404296915,193.59964930235552,1327.16160177926
gbtree,0.25,15,10,3,1e-06,19632.79635796267,143.2381387644664,20512.404296915,193.59964930235552,1333.2712255617698
gbtree,0.5,3,0,1,1e-06,16668.36304242261,126.6094118882463,20512.404296915,193.59964930235552,986.2948269125927
gbtree,0.5,3,0,2,1e-06,16682.25071577332,126.78296265686576,20512.404296915,193.59964930235552,986.2948269125927
gbtree,0.5,3,0,3,1e-06,16682.25071577332,126.78296265686576,20512.404296915,193.59964930235552,986.2948269125927
gbtree,0.5,3,5,1,1e-06,16668.36304242261,126.6094118882463,20512.404296915,193.59964930235552,986.2948269125927
gbtree,0.5,3,5,2,1e-06,16682.25071577332,126.78296265686576,20512.404296915,193.59964930235552,986.2948269125927
gbtree,0.5,3,5,3,1e-06,16682.25071577332,126.78296265686576,20512.404296915,193.59964930235552,986.2948269125927
gbtree,0.5,3,10,1,1e-06,16668.36304242261,126.6094118882463,20512.404296915,193.59964930235552,986.2948269125927
